"","x","predicted","std.error","conf.low","conf.high","Site"
"1",0,4.79562980349753,0.0266592273564586,4.55148666937407,5.05286884985131,"Kigigak Island"
"2",0,5.30132235714597,0.0594525387974575,4.71821927399491,5.9564884763357,"Utqiaġvik"
"3",1,4.7251936284044,0.0215388474300245,4.52986969613536,4.92893975404239,"Kigigak Island"
"4",1,5.22345878446136,0.0574509985916981,4.6671933567628,5.8460234207848,"Utqiaġvik"
"5",2,4.65579198995505,0.0200801307822833,4.47611597531775,4.8426803892611,"Kigigak Island"
"6",2,5.14673883888388,0.0570325544505296,4.60241665930564,5.75543733575658,"Utqiaġvik"
"7",3,4.58740969331436,0.0229909441759691,4.38528275139982,4.79885309279021,"Kigigak Island"
"8",3,5.07114572330396,0.0582313442517957,4.52417588406311,5.68424385037135,"Utqiaġvik"
"9",4,4.5200317668225,0.0289834010119698,4.27042177942202,4.78423168211026,"Kigigak Island"
"10",4,4.99666288732089,0.0609520204573963,4.43401946972407,5.63070148428636,"Utqiaġvik"
"11",5,4.45364345871701,0.0365728548596904,4.14557308182217,4.78460749958712,"Kigigak Island"
"12",5,4.92327402361919,0.0650037714333236,4.33433722935766,5.59223379008642,"Utqiaġvik"
"13",7,4.32377777077117,0.0537670209707609,3.89131862925881,4.80429797509947,"Kigigak Island"
"14",7,4.77971417785476,0.0761867428148573,4.11672307718181,5.5494788436499,"Utqiaġvik"
