pixel, lon, lat
1, -173.05576386, 62.26233287
2, -173.33655426, 62.42821497
3, -172.67357453, 62.40051872
4, -172.92935290, 62.57602444
5, -172.30877480, 62.53892242
6, -172.59435311, 62.72215112
7, -172.88256690, 62.86960264
8, -173.28950402, 62.74155685
9, -173.64949576, 62.61006956
10, -174.05315813, 62.45989067
11, -173.73223588, 62.30883546
12, -173.39871039, 62.13615455
13, -173.10043038, 61.95538139
14, -172.74200852, 62.09614904
15, -172.37301955, 62.21931067
16, -172.01043703, 62.34746359
