"","year_winter","days_tmin_below_15","winter_meanTmin","spring_meanTmin","days_awnd_above_13_6","winter_meanWind","spring_meanWind"
"1",1993,14,-5.03046357615894,-5.48,9,8.54172185430463,8.10333333333333
"2",1994,16,-6.21854304635762,-5.62666666666667,11,8.76556291390729,7.08333333333333
"3",1995,6,-2.54276315789474,-2.58,9,8.27763157894737,7.81666666666667
"4",1996,6,-4.18344370860927,-3.22666666666667,8,8.00466666666667,6.13333333333333
"5",1997,9,-5.47218543046358,-2.15,6,7.30859375,8.53333333333333
"6",1998,7,-4.99801324503311,-4.05,8,8.37152317880795,6.78
"7",1999,15,-6.13684210526316,-2.27666666666667,8,8.25592105263158,6.95
"8",2000,0,-2.10596026490066,-2.23333333333333,12,8.00529801324503,7.56666666666667
"9",2001,19,-5.7794701986755,-1.45333333333333,15,8.31986754966887,7.50666666666667
"10",2002,0,-2.99072847682119,-0.423333333333333,4,7.2364238410596,7.32333333333333
"11",2003,0,-3.58421052631579,-2.47,8,7.93552631578947,6.96333333333333
"12",2004,0,-2.8205298013245,-4.76,6,7.80132450331126,7.75333333333333
"13",2005,10,-4.8794701986755,-4.93,9,7.99602649006623,8.66666666666667
"14",2006,14,-6.26887417218543,-3.08666666666667,7,7.57152317880795,6.97666666666667
"15",2007,19,-6.825,-4.59666666666667,6,7.64868421052632,6.31
"16",2008,23,-7.00993377483444,-5.11,9,7.88940397350993,7.24333333333333
"17",2009,26,-7.50993377483444,-6.33333333333333,9,7.57986111111111,6.21
"18",2010,1,-4.16490066225166,-5.62333333333333,10,7.81258278145695,7.92666666666667
"19",2011,39,-8.40065789473684,-6.13333333333333,14,8.29802631578947,6.96666666666667
"20",2012,16,-6.67350993377483,-6.78333333333333,9,7.11324503311258,4.29
"21",2013,5,-3.22781456953642,-0.59,11,7.61390728476821,7.08666666666667
"22",2014,0,-2.20529801324503,-3.89333333333333,14,8.18013245033113,7.12333333333333
"23",2015,0,-2.04342105263158,0.26,10,7.99934210526316,7.01333333333333
"24",2016,3,-4.10927152317881,-2.00333333333333,8,8.05099337748344,6.35666666666667
"25",2017,0,-0.863576158940397,-0.753333333333333,11,8.2635761589404,7.01
"26",2018,0,-2.4794701986755,-1.24666666666667,15,8.6953642384106,7.06666666666667
"27",2019,2,-3.53034482758621,0.064,6,7.8527027027027,6.75862068965517
